season,season_type,bucket,qb_id,qb,team,games,n,epa,epa2,succ,cpoe,cpoe_n,sacks,ints,tds,att,comp
2021,REG,all,00-0033106,J.Goff,DET,14,540,-32.447100593461975,1264.6348171729462,245.0,258.2342654466629,467,35.0,8.0,19.0,529.0,332.0
2021,REG,all,00-0036389,J.Hurts,PHI,15,509,43.072549539496556,1235.401564186393,233.0,47.1975713968277,409,26.0,9.0,16.0,459.0,265.0
2021,REG,all,00-0034855,B.Mayfield,CLE,14,487,-8.091747724710624,1209.0932812328026,210.0,-1087.4831601977348,400,43.0,13.0,17.0,462.0,253.0
2021,REG,all,00-0031237,T.Bridgewater,DEN,14,475,56.72277544773157,1034.0827004207665,227.0,1583.774584531784,405,31.0,7.0,18.0,460.0,285.0
2021,REG,all,00-0031345,J.Garoppolo,SF,15,475,76.59348823416883,1301.275961661793,232.0,1117.2145262360573,426,29.0,12.0,20.0,469.0,301.0
2021,REG,all,00-0034796,L.Jackson,BAL,12,470,26.837024923595052,1066.0245350786802,230.0,252.09430754184723,371,38.0,13.0,16.0,421.0,246.0
2021,REG,all,00-0034869,S.Darnold,CAR,12,465,-69.25680523908501,1208.6277107633186,194.0,-1876.7429009079933,384,35.0,13.0,9.0,442.0,243.0
2021,REG,all,00-0029263,R.Wilson,SEA,14,458,15.047937456380883,1166.5665481156173,202.0,1233.7849035859108,386,33.0,6.0,25.0,435.0,259.0
2021,REG,all,00-0037013,Z.Wilson,NYJ,13,445,-86.09135601494621,1041.0944326922688,164.0,-3528.005640208721,366,44.0,11.0,9.0,429.0,213.0
2021,REG,all,00-0036898,D.Mills,HOU,13,434,-54.9602853201117,1061.3198054120244,185.0,-83.0406904220581,378,31.0,10.0,16.0,424.0,263.0
2021,REG,all,00-0036212,T.Tagovailoa,MIA,13,427,27.11579545673312,1003.3530763472166,209.0,731.6594809293747,380,20.0,10.0,16.0,409.0,263.0
2021,REG,all,00-0035710,D.Jones,NYG,11,406,-11.826230673287158,902.0754631536257,172.0,-292.83634424209595,347,22.0,7.0,10.0,383.0,232.0
2021,REG,all,00-0036945,J.Fields,CHI,12,349,-42.966680046449774,888.7066754014892,148.0,-509.5260947942734,261,36.0,10.0,7.0,304.0,159.0
2021,REG,all,00-0027973,A.Dalton,CHI,8,268,-27.727753766374235,861.9392401725302,116.0,-952.3132935166359,227,18.0,9.0,8.0,256.0,149.0
